team_id,team_name,country
1,Santa Fe Lions,Argentina
2,Antwerp Maccabi,Belgium
3,Fes Rovers,Morocco
4,Marseille Wanderers,France
5,Daegu United,South Korea
6,Dortmund Athletic,Germany
7,Tokyo Wanderers,Japan
8,Agadir Dynamo,Morocco
9,Marrakesh Hapoel,Morocco
10,Rosario Rovers,Argentina
11,Sibenik Maccabi,Croatia
12,Toluca Hapoel,Mexico
13,Cordoba Wanderers,Argentina
14,Mar del Plata Dynamo,Argentina
15,Ulsan City,South Korea
16,Marrakesh City,Morocco
17,Mexico City United,Mexico
18,Incheon Rovers,South Korea
19,Lille Wanderers,France
20,Daejeon United,South Korea
21,Coimbra Lions,Portugal
22,Fes City,Morocco
23,Rotterdam Maccabi,Netherlands
24,Marseille City,France
25,Randers Hapoel,Denmark
26,Sao Paulo United,Brazil
27,Porto Alegre Lions,Brazil
28,Frankfurt Hapoel,Germany
29,Petah Tikva Lions,Israel
30,Fes Lions,Morocco
31,Breda Athletic,Netherlands
32,Zadar Dynamo,Croatia
33,Buenos Aires City,Argentina
34,Atlanta Dynamo,United States
35,Miami Wanderers,United States
36,Odense Wanderers,Denmark
37,Colonia Sporting,Uruguay
38,Newcastle Maccabi,England
39,Rabat Wanderers,Morocco
40,Verona United,Italy
41,Setubal Athletic,Portugal
42,Manchester FC,England
43,Tilburg Hapoel,Netherlands
44,Puebla City,Mexico
45,Colonia Athletic,Uruguay
46,Bordeaux Maccabi,France
47,Orlando Rovers,United States
48,Tokyo United,Japan
49,Sibenik Athletic,Croatia
50,Cologne FC,Germany
51,Porto Alegre Dynamo,Brazil
52,Horsens Rovers,Denmark
53,Casablanca United,Morocco
54,Monterrey Rovers,Mexico
55,Mechelen Wanderers,Belgium
56,Recife FC,Brazil
57,Bern Wanderers,Switzerland
58,Fes United,Morocco
59,Zadar Hapoel,Croatia
60,Aarhus City,Denmark
61,Villarreal Wanderers,Spain
62,Colonia City,Uruguay
63,Frankfurt Maccabi,Germany
64,Sao Paulo FC,Brazil
65,Newcastle Dynamo,England
66,Gwangju City,South Korea
67,Randers City,Denmark
68,Pula Maccabi,Croatia
69,Gwangju Eagles,South Korea
70,Lausanne Dynamo,Switzerland
71,Ashdod Wanderers,Israel
72,Villarreal Hapoel,Spain
73,Amsterdam Hapoel,Netherlands
74,Kobe Lions,Japan
75,Bern Eagles,Switzerland
76,Fortaleza City,Brazil
77,Suwon City,South Korea
78,Rome Hapoel,Italy
79,Seville FC,Spain
80,Seattle Sporting,United States
81,Brighton Eagles,England
82,Stuttgart Eagles,Germany
83,Salvador Maccabi,Brazil
84,Cologne Lions,Germany
85,Nagoya Wanderers,Japan
86,Nantes Maccabi,France
87,Liege Hapoel,Belgium
88,Yokohama Athletic,Japan
89,Faro Athletic,Portugal
90,Arnhem Eagles,Netherlands
91,Stuttgart Wanderers,Germany
92,Sapporo Maccabi,Japan
93,Faro United,Portugal
94,Lucerne Sporting,Switzerland
95,Bruges Rovers,Belgium
96,Porto Alegre Eagles,Brazil
97,Santa Fe Dynamo,Argentina
98,Coimbra Maccabi,Portugal
99,Faro City,Portugal
100,Seville Athletic,Spain
101,Curitiba Lions,Brazil
102,Rome United,Italy
