transaction_id,amount,transaction_type,transaction_date,user_id
1,4836.95,Winnings,2026-02-18,38
2,4320.46,Deposit,2026-01-25,185
3,3459.66,Bet Placement,2026-02-15,253
4,4591.85,Bet Placement,2026-01-04,488
5,835.08,Winnings,2026-02-14,343
6,3874.63,Deposit,2026-04-10,475
7,317.41,Deposit,2026-01-10,275
8,521.81,Bet Placement,2026-01-04,186
9,863.68,Bet Placement,2026-03-13,477
10,2939.63,Deposit,2026-03-10,80
11,514.89,Winnings,2026-03-15,36
12,3425.65,Winnings,2026-03-05,301
13,4170.48,Deposit,2026-03-13,256
14,1493.05,Winnings,2026-02-01,141
15,2349.89,Withdrawal,2026-02-26,86
16,3695.15,Withdrawal,2026-01-08,19
17,2870.09,Deposit,2026-02-23,111
18,1157.96,Winnings,2026-03-22,54
19,2151.57,Withdrawal,2026-01-20,76
20,2258.87,Bet Placement,2026-03-27,79
21,3500.16,Deposit,2026-03-02,284
22,4477.95,Withdrawal,2026-03-31,240
23,2213.44,Deposit,2026-01-08,390
24,1785.11,Deposit,2026-03-26,41
25,3524.11,Withdrawal,2026-01-22,182
26,3536.19,Deposit,2026-01-20,42
27,1031.3,Withdrawal,2026-01-07,260
28,1251.06,Withdrawal,2026-01-28,478
29,1437.41,Withdrawal,2026-01-23,210
30,4349.88,Withdrawal,2026-02-02,6
31,4067.85,Deposit,2026-03-03,143
32,4051.42,Bet Placement,2026-03-20,52
33,1414.94,Bet Placement,2026-03-03,123
34,2750.22,Withdrawal,2026-01-28,205
35,2383.68,Deposit,2026-02-27,219
36,819.09,Deposit,2026-03-29,448
37,3808.8,Bet Placement,2026-04-12,209
38,104.95,Withdrawal,2026-04-15,159
39,4823.72,Bet Placement,2026-01-02,288
40,3163.72,Winnings,2026-04-08,227
41,4744.46,Deposit,2026-01-03,19
42,725.82,Bet Placement,2026-04-05,254
43,2794.03,Winnings,2026-03-11,247
44,3381.91,Deposit,2026-01-16,223
45,1412.68,Deposit,2026-01-17,490
46,4614.6,Withdrawal,2026-04-06,261
47,4603.27,Winnings,2026-02-18,171
48,969.63,Winnings,2026-03-25,242
49,4553.73,Winnings,2026-01-28,26
50,2237.6,Winnings,2026-01-17,239
51,3786.83,Bet Placement,2026-02-28,326
52,1090.81,Withdrawal,2026-03-28,380
53,3095.45,Withdrawal,2026-01-10,405
54,1127.19,Winnings,2026-04-07,31
55,2251.0,Withdrawal,2026-04-15,454
56,2444.83,Winnings,2026-04-05,449
57,4929.21,Withdrawal,2026-01-21,498
58,829.45,Bet Placement,2026-02-04,155
59,1882.93,Withdrawal,2026-03-21,207
60,4363.43,Withdrawal,2026-04-07,492
61,3357.68,Withdrawal,2026-02-18,211
62,2830.41,Winnings,2026-02-19,446
63,2848.3,Withdrawal,2026-01-26,2
64,918.08,Bet Placement,2026-01-12,161
65,3810.11,Bet Placement,2026-04-15,139
66,2950.23,Winnings,2026-03-30,301
67,1295.54,Bet Placement,2026-02-27,55
68,4457.17,Winnings,2026-03-05,191
69,3740.61,Bet Placement,2026-04-08,262
70,1819.27,Winnings,2026-02-09,333
71,4897.09,Withdrawal,2026-04-12,373
72,107.0,Deposit,2026-03-12,42
73,1637.78,Deposit,2026-03-27,195
74,3725.09,Deposit,2026-04-15,104
75,1084.07,Bet Placement,2026-03-25,197
76,3412.04,Winnings,2026-04-09,145
77,3396.3,Deposit,2026-03-10,181
78,3516.57,Bet Placement,2026-02-10,47
79,1502.15,Bet Placement,2026-02-28,71
80,4931.0,Withdrawal,2026-03-13,52
81,1899.13,Deposit,2026-04-05,167
82,3107.66,Winnings,2026-01-06,167
83,705.64,Winnings,2026-01-11,453
84,2088.1,Winnings,2026-02-28,283
85,3674.77,Deposit,2026-03-18,255
86,1956.28,Withdrawal,2026-01-16,156
87,2748.15,Withdrawal,2026-02-03,405
88,2451.09,Bet Placement,2026-02-24,21
89,1628.28,Deposit,2026-03-30,80
90,4215.81,Winnings,2026-02-13,33
91,1582.85,Withdrawal,2026-04-14,13
92,906.85,Deposit,2026-04-06,319
93,3859.59,Bet Placement,2026-01-28,194
94,761.71,Withdrawal,2026-03-17,404
95,1950.56,Bet Placement,2026-04-04,221
96,3009.44,Bet Placement,2026-03-24,109
97,1894.45,Bet Placement,2026-02-22,350
98,1992.31,Bet Placement,2026-03-08,472
99,535.78,Deposit,2026-01-14,404
100,3228.29,Winnings,2026-01-07,403
101,4766.37,Withdrawal,2026-03-28,54
102,4693.2,Winnings,2026-02-23,140
103,1209.68,Winnings,2026-01-05,203
104,2346.8,Withdrawal,2026-02-03,238
105,3460.65,Bet Placement,2026-01-03,247
106,3948.08,Deposit,2026-01-23,316
107,2235.25,Withdrawal,2026-02-15,279
108,3689.91,Winnings,2026-01-14,125
109,691.28,Withdrawal,2026-04-11,264
110,2374.71,Bet Placement,2026-01-20,334
111,2585.71,Deposit,2026-01-03,190
112,1982.6,Bet Placement,2026-01-09,434
113,2601.16,Withdrawal,2026-03-24,289
114,1503.12,Withdrawal,2026-01-06,168
115,196.08,Bet Placement,2026-03-11,105
116,2834.07,Winnings,2026-01-25,446
117,3691.04,Deposit,2026-01-03,287
118,1972.87,Bet Placement,2026-03-28,454
119,2422.1,Winnings,2026-03-15,252
120,3919.25,Bet Placement,2026-01-13,389
121,1586.68,Bet Placement,2026-01-17,320
122,2884.12,Withdrawal,2026-01-19,39
123,1794.34,Winnings,2026-02-23,463
124,3206.02,Withdrawal,2026-03-14,94
125,3752.79,Withdrawal,2026-01-07,323
126,4378.26,Winnings,2026-02-01,377
127,4207.68,Withdrawal,2026-02-27,481
128,167.45,Winnings,2026-01-27,145
129,2801.83,Winnings,2026-03-03,170
130,2682.65,Deposit,2026-03-23,29
131,3553.82,Winnings,2026-02-02,303
132,2959.12,Winnings,2026-02-14,230
133,3981.86,Withdrawal,2026-03-04,453
134,295.8,Bet Placement,2026-02-17,98
135,3687.18,Winnings,2026-02-20,406
136,4242.39,Deposit,2026-02-07,463
137,1153.85,Bet Placement,2026-02-04,277
138,1460.7,Winnings,2026-04-04,458
139,4316.56,Deposit,2026-03-23,55
140,4898.91,Winnings,2026-01-12,209
141,765.34,Deposit,2026-01-24,401
142,1412.38,Withdrawal,2026-03-15,433
143,2515.91,Deposit,2026-01-28,353
144,4340.59,Deposit,2026-01-17,367
145,2473.77,Bet Placement,2026-03-03,173
146,835.73,Winnings,2026-01-23,161
147,1590.33,Withdrawal,2026-01-16,163
148,4429.36,Withdrawal,2026-04-02,72
149,2850.39,Deposit,2026-01-15,50
150,2448.05,Winnings,2026-03-10,395
151,1815.71,Bet Placement,2026-02-14,425
152,310.09,Bet Placement,2026-02-03,320
153,3256.05,Withdrawal,2026-04-15,149
154,3713.25,Winnings,2026-02-25,287
155,4475.61,Deposit,2026-01-14,174
156,4535.93,Withdrawal,2026-01-15,137
157,1067.16,Winnings,2026-01-03,343
158,522.77,Withdrawal,2026-03-07,304
159,799.51,Deposit,2026-04-03,156
160,4062.27,Winnings,2026-01-26,164
161,2683.23,Withdrawal,2026-01-12,402
162,4334.33,Deposit,2026-01-16,254
163,4250.92,Withdrawal,2026-01-08,236
164,2398.96,Bet Placement,2026-03-04,245
165,4516.82,Withdrawal,2026-03-21,241
166,1876.57,Withdrawal,2026-01-28,410
